Artist,Title,"('PeakPos', 'min')","('Duration', 'max')","('Date', 'min')"
Logic,Yuck,87.0,1.0,2018-03-24
Lil Yachty Featuring Ugly God,Boom!,88.0,1.0,2018-03-24
Logic,BoomTrap Protocol,97.0,1.0,2018-03-24
Logic Featuring Young Sinatra,Warm It Up,98.0,1.0,2018-03-24
Macklemore Featuring Kesha,Good Old Days,48.0,20.0,2017-10-14
Carrie Underwood Featuring Ludacris,The Champion,47.0,3.0,2018-01-27
"6ix9ine, Fetty Wap & A Boogie Wit da Hoodie",Keke,43.0,8.0,2018-01-27
Joyner Lucas & Chris Brown,Stranger Things,91.0,1.0,2018-03-17
SOB X RBE,Paramedic!,65.0,4.0,2018-02-24
Maluma X Nego do Borel,Corazon,87.0,9.0,2018-01-13
Cardi B,Bodak Yellow (Money Moves),1.0,35.0,2017-07-22
5 Seconds Of Summer,Want You Back,61.0,1.0,2018-03-10
Russell Dickerson,Yours,49.0,20.0,2017-11-04
6ix9ine Featuring Tory Lanez & Young Thug,Rondo,73.0,1.0,2018-03-10
Walker Hayes,You Broke Up With Me,62.0,19.0,2017-11-04
6ix9ine,Kooda,50.0,9.0,2017-12-23
Khalid & Swae Lee,The Ways,63.0,3.0,2018-02-24
Migos Featuring Post Malone,Notice Me,52.0,5.0,2018-02-10
Kodak Black Featuring Lil Wayne,Codeine Dreaming,52.0,14.0,2017-12-16
Becky G Featuring Bad Bunny,Mayores,74.0,18.0,2017-11-04
Cole Swindell,Break Up In The End,98.0,1.0,2018-03-10
Janelle Monae,Make Me Feel,99.0,1.0,2018-03-10
Plies,Rock,95.0,5.0,2018-02-03
Ed Sheeran,Shape Of You,1.0,59.0,2017-01-28
Sam Smith,Too Good At Goodbyes,4.0,24.0,2017-09-30
Lil Pump,Gucci Gang,3.0,24.0,2017-09-30
Gucci Mane Featuring Migos,I Get The Bag,11.0,27.0,2017-09-09
Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,Let Me Go,40.0,22.0,2017-09-30
Kendrick Lamar & Travis Scott,Big Shot,71.0,2.0,2018-02-24
Kelsea Ballerini,Legends,68.0,12.0,2017-12-16
Taylor Swift Featuring Ed Sheeran & Future,End Game,18.0,14.0,2017-12-09
Liam Payne & Rita Ora,For You (Fifty Shades Freed),76.0,3.0,2018-01-20
WALK THE MOON,One Foot,65.0,8.0,2018-01-13
Keith Urban,Female,69.0,6.0,2017-12-02
Logic Featuring Alessia Cara & Khalid,1-800-273-8255,3.0,42.0,2017-05-20
Kodak Black Featuring XXXTENTACION,Roll In Peace,31.0,26.0,2017-09-09
Justin Timberlake,Filthy,9.0,6.0,2018-01-20
Kendrick Lamar,Black Panther,91.0,1.0,2018-02-24
Natti Natasha x Ozuna,Criminal,95.0,3.0,2017-12-23
Zac Efron & Zendaya,Rewrite The Stars,70.0,7.0,2018-01-13
Brett Young,Like I Loved You,46.0,20.0,2017-10-14
Chris Young,Losing Sleep,60.0,20.0,2017-10-14
Justin Timberlake,Man Of The Woods,73.0,1.0,2018-02-17
Drake,Diplomatic Immunity,7.0,3.0,2018-02-03
Migos Featuring 21 Savage,BBO (Bad Bitches Only),48.0,2.0,2018-02-10
The Chainsmokers,Sick Boy,65.0,3.0,2018-02-03
Easton Corbin,A Girl Like You,98.0,1.0,2018-02-17
Justin Timberlake,Supplies,71.0,2.0,2018-02-03
Imagine Dragons,Believer,4.0,52.0,2017-02-25
Lil Uzi Vert Featuring Nicki Minaj,The Way Life Goes,24.0,23.0,2017-09-16
Migos,Supastars,53.0,1.0,2018-02-10
"Migos Featuring Travis Scott, Ty Dolla $ign & Big Sean",White Sand,64.0,1.0,2018-02-10
Migos,Gang Gang,73.0,1.0,2018-02-10
Migos,Higher We Go (Intro),83.0,1.0,2018-02-10
Migos,Auto Pilot,85.0,1.0,2018-02-10
Migos,Emoji A Chain,87.0,1.0,2018-02-10
Eric Church,Round Here Buzz,56.0,19.0,2017-10-14
Migos Featuring Gucci Mane,CC,96.0,1.0,2018-02-10
"Sofi Tukker Featuring NERVO, The Knocks & Alisa Ueno",Best Friend,45.0,20.0,2015-12-12
BTS Featuring Desiigner,MIC Drop,28.0,10.0,2017-12-16
Maroon 5 Featuring SZA,What Lovers Do,9.0,22.0,2017-09-16
J Balvin & Willy William Featuring Beyonce,Mi Gente,3.0,30.0,2017-07-22
21 Savage,Bank Account,12.0,29.0,2017-07-29
Charlie Puth,Attention,5.0,40.0,2016-12-17
French Montana Featuring Swae Lee,Unforgettable,3.0,42.0,2017-04-29
"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",Pills And Automobiles,46.0,20.0,2017-09-30
LANCO,Greatest Love Story,45.0,21.0,2017-09-23
NF,No Name,82.0,1.0,2018-02-03
Quavo & Lil Yachty,Ice Tray,74.0,6.0,2018-01-03
